chave,categoria,proposta
:count campo(s) alterado(s),placeholder,
:reference — :equipment (:priority),placeholder,
API,sigla-tecnico,
AVISO:,texto-geral,
Abrir Ticket,texto-geral,
Admin,sigla-tecnico,
Administrador,sigla-tecnico,
Agenda,texto-geral,
Agenda Inteligente,texto-geral,
Ajuste,texto-geral,
Alta,texto-geral,
Alternar Tema,texto-geral,
Analytics,sigla-tecnico,
Anterior,texto-geral,
Autorizado,texto-geral,
Autorizar,texto-geral,
Breadcrumb,sigla-tecnico,
Campos de texto,texto-geral,
Cancelada,texto-geral,
Cancelado,texto-geral,
Cancelar,texto-geral,
Centro Analítico,texto-geral,
Ciclos,texto-geral,
Claro,texto-geral,
Componente,texto-geral,
Contacto,texto-geral,
Contacto (Opcional),texto-geral,
Contraste,texto-geral,
Copiar,texto-geral,
Crítica,texto-geral,
Código (SKU),sigla-tecnico,
Código QR,sigla-tecnico,
Código único (SKU),sigla-tecnico,
Dashboard,sigla-tecnico,
Dashboard Analítico,sigla-tecnico,
Decimal,texto-geral,
Documento,texto-geral,
Editar,texto-geral,
Editar Sala,texto-geral,
Eliminar,texto-geral,
Email,sigla-tecnico,
Entendido,texto-geral,
Entrada,texto-geral,
Enviar,texto-geral,
Espera,texto-geral,
Estado,texto-geral,
Estado Anterior,texto-geral,
Estado de Stock,sigla-tecnico,
Estado de ticket,texto-geral,
Estados,texto-geral,
Europa,texto-geral,
Explorar,texto-geral,
Exportar CSV,sigla-tecnico,
Exportar Excel,sigla-tecnico,
Exportar PDF,sigla-tecnico,
Exportar Todos (PDF),sigla-tecnico,
Fabricante,texto-geral,
Failover,sigla-tecnico,
Filtrar por etiqueta,texto-geral,
Formato de Hora,texto-geral,
Formato de Números,texto-geral,
Genérico,texto-geral,
Grupos,texto-geral,
Guardar,texto-geral,
Guardar Sala,texto-geral,
Guardar Ticket,texto-geral,
Hora,texto-geral,
Horas de uso,texto-geral,
ID,sigla-tecnico,
Idioma,texto-geral,
Imprimir,texto-geral,
Kit / Conjunto,texto-geral,
Lista de salas,texto-geral,
Lista de tickets,texto-geral,
Litro,unidade,
Log ID,sigla-tecnico,
MTTR,sigla-tecnico,
Mailgun → SendGrid (fallback),sigla-tecnico,
Marca,texto-geral,
Marca · Modelo,texto-geral,
Metro,unidade,
Modelo,texto-geral,
Modelos,texto-geral,
Mostrar,texto-geral,
Mostrar/Ocultar,texto-geral,
Motivo,texto-geral,
Máximo,texto-geral,
Mínimo,texto-geral,
Mínimo 8 caracteres,texto-geral,
Mínimo de 8 caracteres,texto-geral,
NIF,sigla-tecnico,
Normal,texto-geral,
Notas,texto-geral,
Notas Internas,texto-geral,
Notas técnicas,texto-geral,
OK,sigla-tecnico,
Ocultar,texto-geral,
Par,texto-geral,
Perfil,texto-geral,
Prioridades,texto-geral,
Página,texto-geral,
Reportado por,texto-geral,
Round-robin,sigla-tecnico,
SKU,sigla-tecnico,
SLA,sigla-tecnico,
Sala,texto-geral,
Salas,texto-geral,
Schemas,sigla-tecnico,
Semana,texto-geral,
Separador,texto-geral,
Separador decimal,texto-geral,
Servidor,texto-geral,
Servidores,texto-geral,
Sistema,sigla-tecnico,
Stock,sigla-tecnico,
Stock OK,sigla-tecnico,
Stock inicial,sigla-tecnico,
Stock máximo,sigla-tecnico,
Stock mínimo,sigla-tecnico,
Swagger,sigla-tecnico,
Tema,texto-geral,
Temperatura,texto-geral,
Tickets,texto-geral,
Tickets por Estado,texto-geral,
Tickets por Sala,texto-geral,
Tipo,texto-geral,
Tipo de Problema,texto-geral,
Tipo de Problema *,texto-geral,
Todas,texto-geral,
Todos,texto-geral,
Token seguro,sigla-tecnico,
Tokens de API,sigla-tecnico,
Total,texto-geral,
Total Consolidado,texto-geral,
Total Estimado,texto-geral,
Total Tickets,texto-geral,
Total de Eventos,texto-geral,
Turquesa Técnica,marca-tema,
Técnico,texto-geral,
Técnico (Opcional),texto-geral,
Técnico:,texto-geral,
Técnico: :name,placeholder,
Título,texto-geral,
Urg.,texto-geral,
Urgente,texto-geral,
Urgentes,texto-geral,
Valor,texto-geral,
Ver,texto-geral,
Ver Tickets Urgentes,texto-geral,
Ver perfil,texto-geral,
Ver sala,texto-geral,
Ver todas,texto-geral,
Ver todos,texto-geral,
Vídeo,texto-geral,
Web,sigla-tecnico,
Y-m-d,formato,
Y-m-d H:i:s,placeholder,
cURL,sigla-tecnico,
consumo,texto-geral,
d,formato,
de,texto-geral,
div,sigla-tecnico,
expirada,texto-geral,
h,formato,
meses,unidade,
min,formato,
mín.,formato,
part_id,texto-geral,
por resolver,texto-geral,
resultado(s) encontrado(s),texto-geral,
técnico,texto-geral,
Área segura,texto-geral,
Índigo Foco,marca-tema,
Últimas 24 horas,unidade,
—,texto-geral,
